kernel,mem,mode,bs,ts,bw_mib_s,iops,clat_avg_us,clat_p99_us,cpu_usr_pct,cpu_sys_pct
vanila_hole,8G,read,1M,20250809-095228,1420.0,1420.0,687.68,1254.0,5.84,85.84
iomap_v1_patch,8G,write,1M,20250812-181845,3103.0,3103.0,281.87,515.0,11.52,85.15
vanila_hole,8G,read,1M,20250809-071114,720.0,720.0,1379.39,2769.0,1.55,96.77
iomap_v1,8G,read,1G,20250808-205525,2065.0,2.0,,493000.0,2.02,92.93
iomap_v1_hole,8G,read,4k,20250809-103827,776.0,199000.0,3.79,62.0,71.67,27.05
iomap_v1_hole,8G,read,10M,20250809-101535,2121.0,212.0,4666.99,5211.0,1.04,97.92
vanila,8G,read,10M,20250808-212515,1027.0,102.0,9689.85,15795.0,0.91,94.66
vanila_hole,8G,read,1M,20250809-071133,770.0,769.0,1290.66,2474.0,1.73,97.14
vanila_hole,8G,read,4k,20250809-071447,475.0,122000.0,6.79,247.0,49.1,50.16
vanila,8G,read,100M,20250808-212609,1012.0,10.0,98460.0,124000.0,0.1,95.85
vanila,8G,read,10M,20250808-212535,920.0,91.0,10806.13,23725.0,0.0,95.04
iomap_v1,8G,read,100M,20250808-205456,2268.0,22.0,43646.67,78119.0,1.36,83.86
iomap_v1_hole,8G,read,10M,20250809-101511,2094.0,209.0,4715.38,5276.0,0.0,98.15
iomap_v1_patch,8G,write,128k,20250812-182030,3336.0,26700.0,34.14,58.0,31.92,66.78
vanila_hole,8G,read,1M,20250809-071117,760.0,760.0,1305.53,1778.0,1.04,97.33
vanila,8G,read,100M,20250808-212551,1002.0,10.0,99430.0,138000.0,0.2,95.39
iomap_v1,8G,read,128k,20250808-205613,1335.0,10700.0,88.49,322.0,6.53,42.43
iomap_v1_patch,8G,write,4k,20250812-182015,432.0,111000.0,7.56,10816.0,72.87,26.29
iomap_v1,8G,read,1G,20250808-205527,2004.0,1.0,,510000.0,1.18,91.18
vanila,8G,write,1G,20250808-213511,335.0,0.0,,1519000.0,2.39,88.62
iomap_v1_hole,8G,read,4k,20250809-103838,837.0,214000.0,3.45,60.0,71.46,27.56
vanila_hole,8G,read,1G,20250809-071402,627.0,0.0,,1636000.0,0.06,98.47
iomap_v1,8G,read,100M,20250808-205450,3226.0,32.0,30638.6,60031.0,1.94,88.67
iomap_v1,8G,read,128k,20250808-205618,1476.0,11800.0,80.61,265.0,4.18,45.1
iomap_v1_hole,8G,read,10M,20250809-101442,2028.0,202.0,4878.74,5997.0,0.4,97.61
iomap_v1_patch,8G,write,128k,20250812-182023,3141.0,25100.0,35.14,65.0,20.31,77.54
vanila_hole,8G,read,128k,20250809-071512,778.0,6220.0,157.05,449.0,6.16,92.78
iomap_v1_patch,8G,write,1M,20250812-181846,3391.0,3390.0,250.9,379.0,19.61,79.74
iomap_v1,8G,read,4k,20250808-205529,621.0,159000.0,4.61,68.0,51.21,30.64
iomap_v1_patch,8G,write,128k,20250812-182018,3066.0,24500.0,36.3,63.0,32.73,66.37
vanila_hole,8G,read,4k,20250809-071416,477.0,122000.0,6.91,253.0,47.06,52.14
iomap_v1_hole,8G,read,1M,20250809-101251,1112.0,1111.0,890.49,3687.0,1.74,97.39
iomap_v1_patch,8G,write,10M,20250812-181905,2977.0,297.0,2849.39,3425.0,10.12,88.73
iomap_v1_patch,8G,write,4k,20250812-182009,422.0,108000.0,7.65,12.0,72.92,26.13
vanila,8G,read,1G,20250808-212615,586.0,0.0,,1754000.0,0.11,95.71
iomap_v1_hole,8G,read,1G,20250809-101817,1332.0,1.0,,768000.0,0.78,97.4
iomap_v1_patch,8G,write,1M,20250812-183823,306.0,306.0,364.59,832.0,1.68,11.13
iomap_v1_hole,8G,read,1M,20250809-101333,2276.0,2275.0,430.83,627.0,1.56,96.0
iomap_v1_patch,8G,write,10M,20250812-181902,2525.0,252.0,3229.17,4424.0,20.64,76.9
vanila,8G,read,10M,20250808-212518,1045.0,104.0,9512.79,20317.0,0.92,94.67
vanila,8G,write,10M,20250808-213313,378.0,37.0,12706.29,14615.0,1.86,88.09
iomap_v1_patch,8G,write,100M,20250812-181916,2165.0,21.0,37442.57,44303.0,16.77,81.07
iomap_v1,8G,read,1M,20250808-205422,2723.0,2723.0,354.23,635.0,2.39,74.2
iomap_v1_hole,8G,read,10M,20250809-101505,1768.0,176.0,5587.84,6849.0,1.56,95.83
vanila,8G,write,128k,20250808-213645,345.0,2757.0,168.52,322.0,2.02,83.78
iomap_v1_hole,8G,read,10M,20250809-101454,2077.0,207.0,4764.27,5211.0,2.65,95.31
vanila,8G,write,10M,20250808-213324,373.0,37.0,12769.81,13435.0,2.16,87.69
vanila,8G,write,128k,20250808-213625,570.0,4556.0,160.85,310.0,3.78,95.11
iomap_v1_hole,8G,read,1M,20250809-101349,2060.0,2060.0,476.09,725.0,3.02,94.15
iomap_v1_hole,8G,read,10M,20250809-101507,1928.0,192.0,5122.22,5735.0,0.57,97.16
iomap_v1_hole,8G,read,10M,20250809-101523,2138.0,213.0,4635.07,5145.0,2.94,97.69
vanila,8G,write,128k,20250808-213637,356.0,2850.0,164.81,318.0,3.03,85.25
iomap_v1,8G,read,1G,20250808-205521,2004.0,1.0,,510000.0,0.59,94.13
iomap_v1_patch,8G,write,128k,20250812-182021,3261.0,26100.0,35.04,65.0,32.17,65.61
vanila,8G,read,128k,20250808-212744,733.0,5863.0,164.34,478.0,3.08,75.95
iomap_v1_hole,8G,read,1M,20250809-101405,2387.0,2386.0,411.07,529.0,4.66,94.17
vanila_hole,8G,read,128k,20250809-071509,808.0,6460.0,152.59,437.0,6.08,92.98
iomap_v1,8G,read,128k,20250808-205609,1493.0,11900.0,80.24,281.0,5.4,40.73
iomap_v1_hole,8G,read,1M,20250809-101407,2256.0,2255.0,435.12,676.0,4.63,93.17
vanila,8G,write,1G,20250808-213506,347.0,0.0,,1485000.0,2.65,88.81
vanila,8G,write,10M,20250808-213346,374.0,37.0,12427.88,13304.0,2.42,84.95
vanila,8G,write,1G,20250808-213501,332.0,0.0,,1536000.0,3.11,86.1
iomap_v1_hole,8G,read,100M,20250809-101748,1898.0,18.0,52366.64,84411.0,1.14,97.53
iomap_v1_patch,8G,write,1M,20250812-181848,4063.0,4063.0,217.7,310.0,13.55,84.86
vanila_hole,8G,read,128k,20250809-071500,793.0,6340.0,155.4,445.0,2.4,96.59
vanila,8G,read,4k,20250808-212718,408.0,105000.0,7.73,178.0,45.81,41.58
vanila,8G,write,1G,20250808-213431,332.0,0.0,,1502000.0,2.01,85.71
iomap_v1_hole,8G,read,4k,20250809-103843,768.0,197000.0,3.77,64.0,75.39,23.48
vanila_hole,8G,read,10M,20250809-071236,709.0,70.0,14054.8,26608.0,0.0,98.4
iomap_v1_hole,8G,read,10M,20250809-101732,1977.0,197.0,5002.91,6652.0,1.74,95.35
vanila,8G,read,4k,20250808-212652,429.0,110000.0,7.44,180.0,42.5,45.35
vanila_hole,8G,read,1G,20250809-071346,640.0,0.0,,1603000.0,0.38,98.44
iomap_v1_hole,8G,read,4k,20250809-103849,772.0,198000.0,3.76,67.0,70.74,27.75
iomap_v1_patch,8G,write,10M,20250812-183828,1443.0,144.0,3155.5,3982.0,8.84,49.37
iomap_v1,8G,read,1M,20250808-205430,2951.0,2951.0,327.92,562.0,2.31,73.49
vanila,8G,write,100M,20250808-213402,359.0,3.0,130009.99999999999,136000.0,2.23,84.92
iomap_v1,8G,read,10M,20250808-205448,3248.0,324.0,3038.47,3458.0,1.91,88.22
vanila_hole,8G,read,128k,20250809-071457,798.0,6385.0,154.37,441.0,1.95,96.96
iomap_v1_hole,8G,read,1M,20250809-101335,2381.0,2381.0,412.84,553.0,3.26,94.64
vanila,8G,read,1M,20250808-212451,912.0,911.0,1085.36,2089.0,0.98,89.75
iomap_v1,8G,read,4k,20250808-205547,663.0,170000.0,4.33,65.0,51.68,31.87
vanila_hole,8G,read,128k,20250809-071454,786.0,6287.0,156.7,449.0,5.15,93.7
vanila,8G,read,128k,20250808-212740,695.0,5561.0,174.02,537.0,2.44,76.78
vanila_hole,8G,read,1M,20250809-071102,287.0,287.0,3462.49,7242.0,1.18,96.58
vanila,8G,write,4k,20250808-213610,235.0,60200.0,9.84,23.0,43.03,50.24
vanila,8G,read,4k,20250808-212714,451.0,115000.0,7.17,176.0,41.0,46.81
vanila,8G,read,1M,20250808-212448,937.0,936.0,1056.38,2474.0,0.91,89.02
iomap_v1,8G,read,10M,20250808-205434,3082.0,308.0,3195.31,3949.0,1.81,84.29
iomap_v1,8G,read,10M,20250808-205447,3091.0,309.0,3185.36,4047.0,1.82,84.8
iomap_v1_patch,8G,write,10M,20250813-103623,1431.0,143.0,3300.9,5407.0,7.65,51.18
iomap_v1_hole,8G,read,10M,20250809-101727,1917.0,191.0,5139.05,6521.0,3.2,94.55
vanila,8G,read,1M,20250808-212500,1016.0,1015.0,970.38,1237.0,2.78,88.18
iomap_v1_patch,8G,write,4k,20250812-181954,375.0,96000.0,8.43,12.0,85.24,13.26
iomap_v1,8G,read,1M,20250808-205419,2852.0,2852.0,339.38,603.0,5.03,70.11
iomap_v1_patch,8G,write,100M,20250812-181913,2231.0,22.0,37059.82,43779.0,17.44,80.12
iomap_v1_patch,8G,write,1G,20250812-181931,2265.0,2.0,,372000.0,16.63,82.04
vanila_hole,8G,read,128k,20250809-071515,782.0,6258.0,157.57,453.0,4.05,94.81
vanila,8G,write,1G,20250808-213441,338.0,0.0,,1519000.0,2.08,85.89
iomap_v1_hole,8G,read,1M,20250809-101327,2322.0,2321.0,421.96,562.0,5.9,91.84
vanila,8G,read,100M,20250808-212603,1014.0,10.0,98120.0,122000.0,0.41,95.43
vanila,8G,write,100M,20250808-213411,570.0,5.0,128677.97,131000.0,4.85,94.3
vanila,8G,read,1G,20250808-212619,830.0,0.0,,1234000.0,0.73,95.62
iomap_v1_hole,8G,read,10M,20250809-101440,1943.0,194.0,5082.83,5932.0,4.58,93.51
vanila_hole,8G,read,4k,20250809-071439,501.0,128000.0,6.55,241.0,42.88,56.39
iomap_v1_hole,8G,read,1G,20250809-101807,1416.0,1.0,,718000.0,0.41,97.79
vanila,8G,write,100M,20250808-213414,366.0,3.0,129080.00000000001,131000.0,2.34,89.54
vanila,8G,write,4k,20250808-213528,226.0,57800.0,9.87,22.0,38.64,55.08
iomap_v1_patch,8G,write,1G,20250812-181922,2485.0,2.0,,363000.0,11.41,87.14
vanila,8G,write,1M,20250808-213245,381.0,380.0,1228.74,1450.0,1.64,92.23
vanila,8G,write,128k,20250808-213650,349.0,2793.0,169.74,322.0,3.31,85.64
vanila,8G,write,10M,20250808-213317,381.0,38.0,12814.5,13566.0,1.72,90.33
iomap_v1_hole,8G,read,1M,20250809-101345,2393.0,2392.0,408.37,523.0,6.54,91.82
iomap_v1_hole,8G,read,100M,20250809-101758,1916.0,19.0,51793.11,82314.0,1.15,97.89
vanila,8G,read,100M,20250808-212548,957.0,9.0,104120.0,136000.0,0.0,92.15
iomap_v1_hole,8G,read,1M,20250809-101312,2450.0,2449.0,399.8,523.0,3.84,93.05
iomap_v1_patch,8G,write,1M,20250812-181849,3710.0,3710.0,234.44,433.0,14.86,82.97
iomap_v1_patch,8G,write,100M,20250812-181919,2489.0,24.0,32375.64,34866.0,16.33,82.77
iomap_v1_hole,8G,read,10M,20250809-101734,1812.0,181.0,5461.86,6849.0,1.07,96.44
iomap_v1_patch,8G,write,100M,20250812-184200,1849.0,18.0,39918.5,46924.0,16.16,76.43
iomap_v1_hole,8G,read,1M,20250809-101420,2317.0,2316.0,423.44,570.0,8.37,90.27
vanila,8G,read,4k,20250808-212710,430.0,110000.0,7.44,169.0,41.87,45.82
vanila,8G,read,1G,20250808-212625,868.0,0.0,,1183000.0,0.51,95.59
vanila,8G,read,10M,20250808-212542,945.0,94.0,10514.22,13829.0,0.83,94.53
iomap_v1_patch,8G,write,1G,20250812-181935,2094.0,2.0,,380000.0,20.7,77.87
iomap_v1_patch,8G,write,128k,20250812-182028,3103.0,24800.0,35.54,67.0,24.62,73.56
vanila,8G,write,128k,20250808-213621,453.0,3627.0,174.9,326.0,3.28,90.35
iomap_v1_patch,8G,write,128k,20250812-182022,3241.0,25900.0,35.15,60.0,22.22,76.19
vanila,8G,read,1G,20250808-212645,839.0,0.0,,1217000.0,0.33,95.82
iomap_v1_hole,8G,read,1M,20250809-101703,2467.0,2467.0,397.56,553.0,5.31,93.24
vanila_hole,8G,read,10M,20250809-071253,763.0,76.0,13058.92,21103.0,0.15,98.58
vanila,8G,read,128k,20250808-212737,694.0,5553.0,175.32,529.0,4.82,74.02
vanila,8G,write,1G,20250808-213436,342.0,0.0,,1485000.0,2.27,87.18
iomap_v1_hole,8G,read,1M,20250809-101718,2343.0,2343.0,416.69,523.0,4.12,94.51
iomap_v1_patch,8G,write,10M,20250812-181901,2725.0,272.0,3138.71,3589.0,13.26,85.94
iomap_v1_hole,8G,read,10M,20250809-101448,2012.0,201.0,4923.59,5932.0,2.17,95.86
vanila,8G,write,100M,20250808-213419,383.0,3.0,120510.0,125000.0,2.68,89.0
iomap_v1,8G,read,128k,20250808-205606,1188.0,9503.0,100.11,396.0,4.64,43.39
vanila,8G,write,4k,20250808-213604,223.0,57100.0,10.41,23.0,37.86,53.78
iomap_v1_patch,8G,write,100M,20250812-181911,1746.0,17.0,47855.91,56886.0,16.51,82.22
iomap_v1_hole,8G,read,10M,20250809-101724,2175.0,217.0,4542.92,5145.0,2.35,95.52
iomap_v1_hole,8G,read,1G,20250809-101812,1469.0,1.0,,693000.0,1.15,97.56
iomap_v1_hole,8G,read,100M,20250809-101800,1838.0,18.0,54023.66,85459.0,0.37,97.61
vanila,8G,write,10M,20250808-213328,369.0,36.0,12628.39,13698.0,1.45,85.69
vanila,8G,write,4k,20250808-213541,262.0,67000.0,10.38,23.0,47.86,49.07
vanila_hole,8G,read,100M,20250809-071308,710.0,7.0,140610.0,192000.0,0.14,98.51
iomap_v1_hole,8G,read,10M,20250809-101428,2121.0,212.0,4663.44,5669.0,0.42,97.71
iomap_v1_hole,8G,read,100M,20250809-101750,1799.0,17.0,55251.77,88605.0,0.0,98.38
iomap_v1,8G,read,128k,20250808-205620,1493.0,11900.0,80.09,277.0,3.07,45.11
iomap_v1_hole,8G,read,10M,20250809-101740,1858.0,185.0,5321.54,10028.0,0.55,97.26
iomap_v1_hole,8G,read,1M,20250809-101310,2462.0,2461.0,394.39,668.0,4.58,91.57
iomap_v1_hole,8G,read,10M,20250809-101736,1903.0,190.0,5201.17,6128.0,0.93,97.2
vanila_hole,8G,read,4k,20250809-071419,490.0,125000.0,6.75,251.0,48.02,51.12
vanila,8G,read,4k,20250808-212656,449.0,115000.0,7.07,176.0,41.82,45.77
iomap_v1_hole,8G,read,1M,20250809-101714,2467.0,2467.0,396.54,611.0,6.51,91.81
iomap_v1_hole,8G,read,1M,20250809-101313,2365.0,2364.0,414.86,537.0,4.86,92.82
iomap_v1_patch,8G,write,100M,20250812-183829,2254.0,22.0,31731.99,35914.0,15.98,75.41
vanila_hole,8G,read,100M,20250809-071318,687.0,6.0,145110.0,186000.0,0.0,98.42
iomap_v1_patchcold,8G,write,1M,20250812-181822,495.0,495.0,1987.21,3818.0,1.11,97.82
iomap_v1_hole,8G,read,1G,20250809-101819,1318.0,1.0,,776000.0,0.64,97.55
iomap_v1,8G,read,4k,20250808-205550,669.0,171000.0,4.26,63.0,55.95,27.71
iomap_v1_hole,8G,read,1M,20250809-101347,2256.0,2255.0,435.3,611.0,2.86,94.71
iomap_v1,8G,read,128k,20250808-205615,1469.0,11800.0,80.96,277.0,6.03,44.25
iomap_v1_hole,8G,read,10M,20250809-101446,1996.0,199.0,4954.13,7767.0,0.39,98.04
iomap_v1_hole,8G,read,1M,20250809-101426,2265.0,2265.0,433.21,578.0,3.1,94.9
vanila,8G,read,100M,20250808-212554,1013.0,10.0,98360.0,123000.0,0.51,95.44
iomap_v1_hole,8G,read,10M,20250809-101515,2044.0,204.0,4835.89,5997.0,4.02,93.98
iomap_v1,8G,read,10M,20250808-205443,3290.0,329.0,2997.81,3654.0,1.61,87.1
iomap_v1_patch,8G,write,1M,20250812-181842,4129.0,4129.0,217.38,326.0,12.96,85.43
iomap_v1_hole,8G,read,10M,20250809-101450,2103.0,210.0,4706.05,5538.0,0.41,97.73
iomap_v1_hole,8G,read,1M,20250809-101713,2432.0,2432.0,402.03,529.0,4.05,93.81
iomap_v1_hole,8G,read,1M,20250809-101359,2306.0,2306.0,424.93,553.0,5.41,92.57
iomap_v1,8G,read,10M,20250808-205442,3129.0,312.0,3146.52,3949.0,2.77,84.31
vanila,8G,read,1G,20250808-212632,860.0,0.0,,1183000.0,0.5,95.8
vanila,8G,read,100M,20250808-212600,999.0,9.0,99780.0,133000.0,0.1,94.01
vanila_hole,8G,read,1G,20250809-071342,664.0,0.0,,1536000.0,0.26,98.7
iomap_v1_hole,8G,read,10M,20250809-101533,1882.0,188.0,5264.12,5997.0,1.85,96.49
iomap_v1_hole,8G,read,4k,20250809-103836,848.0,217000.0,3.4,59.0,77.05,21.87
